location	town	mortality	hardness
South	Bat	124	105
North	Birkenhea	166	17
South	Birmingha	146	5
North	Blackbur	180	14
North	Blackpoo	160	18
North	Bolto	155	10
North	Bootl	180	15
South	Bournemout	129	78
North	Bradfor	163	10
South	Brighto	135	84
South	Bristo	139	73
North	Burnle	175	12
South	Cardif	151	21
South	Coventr	130	78
South	Croydo	125	96
North	Darlingto	149	20
North	Derb	155	39
North	Doncaste	142	39
South	East Ha	131	122
South	Exete	126	21
North	Gateshea	172	44
North	Grimsb	137	94
North	Halifa	174	8
North	Huddersfiel	157	9
North	Hul	156	91
South	Ipswic	109	138
North	Leed	159	16
South	Leiceste	140	37
North	Liverpoo	177	15
North	Mancheste	182	8
North	Middlesbroug	170	26
North	Newcastl	170	44
South	Newpor	158	14
South	Northhampto	130	59
South	Norwic	125	133
North	Nottingha	142	27
North	Oldha	172	6
South	Oxfor	117	107
South	Plymout	148	5
South	Portsmout	145	90
North	Presto	169	6
South	Readin	123	101
North	Rochdal	171	13
North	Rotherha	144	14
North	St Helen	159	49
North	Salfor	198	8
North	Sheffiel	149	14
South	Southhampto	136	68
South	Southhen	125	50
North	Southhpor	158	75
North	Southh Shield	171	71
North	Stockpor	155	13
North	Stok	164	57
North	Sunderlan	170	71
South	Swanse	162	13
North	Wallase	162	20
South	Walsal	152	60
South	West Bromwic	162	53
South	West Ha	148	122
South	Wolverhampto	148	81
North	Yor	137	71
